Year,الجنس,Sex,International Disease Code,سبب الوفاة,Cause of Death,الجنسية,Nationality,Deaths
2019,ذكر,Male,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,8
2019,ذكر,Male,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,غير بحريني,Non-Bahraini,1
2019,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,10
2019,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,غير بحريني,Non-Bahraini,7
2019,ذكر,Male,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,غير بحريني,Non-Bahraini,7
2019,ذكر,Male,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,غير بحريني,Non-Bahraini,99
2020,ذكر,Male,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,غير بحريني,Non-Bahraini,9
2020,ذكر,Male,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,غير بحريني,Non-Bahraini,0
2020,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,غير بحريني,Non-Bahraini,13
2020,ذكر,Male,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",غير بحريني,Non-Bahraini,0
2020,ذكر,Male,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",غير بحريني,Non-Bahraini,0
2011,أنثى,Female,C00 - D49,الأورام,Neoplasms,غير بحريني,Non-Bahraini,11
2011,أنثى,Female,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,غير بحريني,Non-Bahraini,2
2011,أنثى,Female,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",غير بحريني,Non-Bahraini,13
2011,أنثى,Female,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,غير بحريني,Non-Bahraini,4
2011,أنثى,Female,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,غير بحريني,Non-Bahraini,0
2011,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,2
2011,أنثى,Female,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,غير بحريني,Non-Bahraini,0
2011,أنثى,Female,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,غير بحريني,Non-Bahraini,1
2011,أنثى,Female,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",غير بحريني,Non-Bahraini,0
2011,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",غير بحريني,Non-Bahraini,0
2011,أنثى,Female,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,غير بحريني,Non-Bahraini,15
2011,أنثى,Female,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,غير بحريني,Non-Bahraini,0
2012,أنثى,Female,C00 - D49,الأورام,Neoplasms,غير بحريني,Non-Bahraini,12
2012,أنثى,Female,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,غير بحريني,Non-Bahraini,2
2012,أنثى,Female,F00 - F99,الإضطرابات العقلية,Mental Disorder,غير بحريني,Non-Bahraini,0
2012,أنثى,Female,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,غير بحريني,Non-Bahraini,5
2012,أنثى,Female,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,غير بحريني,Non-Bahraini,0
2012,أنثى,Female,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,غير بحريني,Non-Bahraini,15
2012,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,1
2012,أنثى,Female,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,غير بحريني,Non-Bahraini,1
2012,أنثى,Female,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,9
2012,أنثى,Female,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,غير بحريني,Non-Bahraini,2
2012,أنثى,Female,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,غير بحريني,Non-Bahraini,13
2012,أنثى,Female,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,غير بحريني,Non-Bahraini,0
2013,أنثى,Female,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,غير بحريني,Non-Bahraini,0
2013,أنثى,Female,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,غير بحريني,Non-Bahraini,0
2013,أنثى,Female,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,5
2014,أنثى,Female,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,غير بحريني,Non-Bahraini,4
2014,أنثى,Female,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",غير بحريني,Non-Bahraini,7
2014,أنثى,Female,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,غير بحريني,Non-Bahraini,0
2014,أنثى,Female,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,غير بحريني,Non-Bahraini,45
2014,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",غير بحريني,Non-Bahraini,0
2014,أنثى,Female,,أخرى,Others,غير بحريني,Non-Bahraini,3
2015,أنثى,Female,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,غير بحريني,Non-Bahraini,6
2015,أنثى,Female,C00 - D49,الأورام,Neoplasms,غير بحريني,Non-Bahraini,21
2015,أنثى,Female,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,غير بحريني,Non-Bahraini,0
2015,أنثى,Female,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,غير بحريني,Non-Bahraini,0
2015,أنثى,Female,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,غير بحريني,Non-Bahraini,59
2015,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,4
2015,أنثى,Female,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",غير بحريني,Non-Bahraini,3
2015,أنثى,Female,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,7
2016,أنثى,Female,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,غير بحريني,Non-Bahraini,59
2016,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,3
2016,أنثى,Female,,أخرى,Others,غير بحريني,Non-Bahraini,0
2017,أنثى,Female,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,غير بحريني,Non-Bahraini,1
2017,أنثى,Female,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",غير بحريني,Non-Bahraini,5
2017,أنثى,Female,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,غير بحريني,Non-Bahraini,0
2017,أنثى,Female,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,غير بحريني,Non-Bahraini,7
2017,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,5
2017,أنثى,Female,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,غير بحريني,Non-Bahraini,0
2017,أنثى,Female,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,غير بحريني,Non-Bahraini,15
2017,أنثى,Female,,أخرى,Others,غير بحريني,Non-Bahraini,0
2018,أنثى,Female,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,غير بحريني,Non-Bahraini,1
2018,أنثى,Female,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",غير بحريني,Non-Bahraini,4
2018,أنثى,Female,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,غير بحريني,Non-Bahraini,76
2018,أنثى,Female,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,غير بحريني,Non-Bahraini,0
2018,أنثى,Female,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,غير بحريني,Non-Bahraini,2
2018,أنثى,Female,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,12
2018,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",غير بحريني,Non-Bahraini,0
2018,أنثى,Female,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,غير بحريني,Non-Bahraini,23
2018,أنثى,Female,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,غير بحريني,Non-Bahraini,0
2019,أنثى,Female,C00 - D49,الأورام,Neoplasms,غير بحريني,Non-Bahraini,18
2019,أنثى,Female,F00 - F99,الإضطرابات العقلية,Mental Disorder,غير بحريني,Non-Bahraini,0
2019,أنثى,Female,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,غير بحريني,Non-Bahraini,0
2019,أنثى,Female,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,غير بحريني,Non-Bahraini,0
2019,أنثى,Female,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,غير بحريني,Non-Bahraini,8
2019,أنثى,Female,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,غير بحريني,Non-Bahraini,0
2019,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",غير بحريني,Non-Bahraini,0
2020,أنثى,Female,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,غير بحريني,Non-Bahraini,4
2020,أنثى,Female,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,غير بحريني,Non-Bahraini,1
2020,أنثى,Female,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,غير بحريني,Non-Bahraini,3
2020,أنثى,Female,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,غير بحريني,Non-Bahraini,0
2020,أنثى,Female,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,غير بحريني,Non-Bahraini,9
2020,أنثى,Female,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,غير بحريني,Non-Bahraini,10
2020,أنثى,Female,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,غير بحريني,Non-Bahraini,11
2020,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",غير بحريني,Non-Bahraini,0
2020,أنثى,Female,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,غير بحريني,Non-Bahraini,21
2020,أنثى,Female,,أخرى,Others,غير بحريني,Non-Bahraini,8
2011,ذكر,Male,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,131
2011,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,99
2011,ذكر,Male,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,بحريني,Bahraini,2
2012,ذكر,Male,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,150
2012,ذكر,Male,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,315
2012,ذكر,Male,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,9
2012,ذكر,Male,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,2
2012,ذكر,Male,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,93
2012,ذكر,Male,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,10
2012,ذكر,Male,-,أخرى,Others,بحريني,Bahraini,35
2013,ذكر,Male,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,156
2013,ذكر,Male,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,بحريني,Bahraini,21
2013,ذكر,Male,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2013,ذكر,Male,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,4
2013,ذكر,Male,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,2
2013,ذكر,Male,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",بحريني,Bahraini,0
2013,ذكر,Male,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,بحريني,Bahraini,78
2013,ذكر,Male,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,بحريني,Bahraini,0
2014,ذكر,Male,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,8
2014,ذكر,Male,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2014,ذكر,Male,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,71
2014,ذكر,Male,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",بحريني,Bahraini,0
2014,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,21
2014,ذكر,Male,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,1
2014,ذكر,Male,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,81
2015,ذكر,Male,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",بحريني,Bahraini,44
2015,ذكر,Male,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,3
2015,ذكر,Male,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2015,ذكر,Male,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2015,ذكر,Male,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,435
2015,ذكر,Male,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,3
2015,ذكر,Male,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,بحريني,Bahraini,15
2015,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,22
2015,ذكر,Male,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,بحريني,Bahraini,68
2016,ذكر,Male,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",بحريني,Bahraini,28
2016,ذكر,Male,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,509
2016,ذكر,Male,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,88
2016,ذكر,Male,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,2
2016,ذكر,Male,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,75
2017,ذكر,Male,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,198
2017,ذكر,Male,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,بحريني,Bahraini,25
2017,ذكر,Male,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2017,ذكر,Male,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,116
2017,ذكر,Male,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,8
2017,ذكر,Male,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,بحريني,Bahraini,31
2017,ذكر,Male,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,87
2018,ذكر,Male,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,بحريني,Bahraini,14
2018,ذكر,Male,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",بحريني,Bahraini,25
2018,ذكر,Male,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,1
2018,ذكر,Male,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2018,ذكر,Male,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2018,ذكر,Male,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,64
2018,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,21
2018,ذكر,Male,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,0
2019,ذكر,Male,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,بحريني,Bahraini,30
2019,ذكر,Male,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,215
2019,ذكر,Male,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,1
2019,ذكر,Male,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,605
2019,ذكر,Male,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,1
2019,ذكر,Male,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,62
2019,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,20
2019,ذكر,Male,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,10
2019,ذكر,Male,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,66
2019,ذكر,Male,Z00 - Z99,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,Factors Influencing Health Status & Contact with Health Services,بحريني,Bahraini,0
2020,ذكر,Male,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,227
2020,ذكر,Male,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,بحريني,Bahraini,32
2020,ذكر,Male,K00 - K99,أمراض الجهاز الهضمي,Diseases of the Digestive System,بحريني,Bahraini,47
2020,ذكر,Male,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,2
2020,ذكر,Male,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,8
2020,ذكر,Male,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,22
2020,ذكر,Male,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,بحريني,Bahraini,49
2020,ذكر,Male,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,67
2011,أنثى,Female,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,136
2011,أنثى,Female,E00 - E99,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,"Endocrine, Nutritional & Metabolic & Immunity Disorders",بحريني,Bahraini,106
2011,أنثى,Female,F00 - F99,الإضطرابات العقلية,Mental Disorder,بحريني,Bahraini,4
2011,أنثى,Female,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,بحريني,Bahraini,21
2011,أنثى,Female,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,227
2011,أنثى,Female,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,18
2011,أنثى,Female,O00 - O99,الحمل والولادة والنفاس*,"Pregnancy, Child-Birth & the Puerperium*",بحريني,Bahraini,4
2011,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,0
2012,أنثى,Female,H00 - H59,أمراض العين وتوابعها,Diseases of the Eye & Adnexa,بحريني,Bahraini,0
2012,أنثى,Female,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2012,أنثى,Female,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,18
2012,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,6
2012,أنثى,Female,-,أخرى,Others,بحريني,Bahraini,18
2013,أنثى,Female,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,85
2013,أنثى,Female,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,4
2013,أنثى,Female,P00 - P99,حالات معينة تنشأ في  الفترة حول موعد الولادة,Conditions Originating in the Perinental Period,بحريني,Bahraini,15
2013,أنثى,Female,Q00 - Q99,العيوب والتشوهات خلقية,Congential Anomalies,بحريني,Bahraini,14
2013,أنثى,Female,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,بحريني,Bahraini,70
2013,أنثى,Female,S00 - T99,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,"Injuries, Poisoning & Certain Other Consequences of External Causes",بحريني,Bahraini,2
2013,أنثى,Female,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,28
2014,أنثى,Female,A00 - B99,الأمراض المعدية (الأنتانية والطفيلية),Certain Infectious & Parasitic Diseases,بحريني,Bahraini,26
2014,أنثى,Female,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,168
2014,أنثى,Female,I00 - I99,أمراض الجهاز الدوري,Diseases of the Circulatory System,بحريني,Bahraini,223
2014,أنثى,Female,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,11
2014,أنثى,Female,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,4
2014,أنثى,Female,N00 - N99,أمراض الجهاز التناسلي البولي,Diseases of Genitourinary System,بحريني,Bahraini,78
2015,أنثى,Female,G00 -G99,أمراض الجهاز العصبي,Diseases of the Nervous System & Sense Organs,بحريني,Bahraini,12
2015,أنثى,Female,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,113
2015,أنثى,Female,L00 - L99,أمراض الجلد والنسيج الخلوي تحت الجلد,Diseases of the Skin & Subcutaneous Tissue,بحريني,Bahraini,3
2015,أنثى,Female,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,3
2015,أنثى,Female,V00 - Y99,الأسباب الخارجية للمرض والوفاة,External Causes of Morbidity & Mortality,بحريني,Bahraini,39
2015,أنثى,Female,-,أخرى,Others,بحريني,Bahraini,1
2016,أنثى,Female,C00 - D49,الأورام,Neoplasms,بحريني,Bahraini,214
2016,أنثى,Female,D50 - D89,أمراض الدم وأعضاء تكوين الدم,Diseases of the Blood & Blood Forming Organs,بحريني,Bahraini,13
2016,أنثى,Female,H60 - H99,أمراض الأذن والنتؤ الخشائي (الحلمي),Diseases of the Ear & Mastoid Process,بحريني,Bahraini,0
2016,أنثى,Female,J00 - J99,أمراض الجهاز التنفسي,Diseases of the Respiratory System,بحريني,Bahraini,139
2016,أنثى,Female,M00 - M99,أمراض الجهاز الهيكلي والنسيج الضام,Diseases of the Musculoskelatal System & Connective Tissue,بحريني,Bahraini,7
2016,أنثى,Female,R00 - R99,الأعراض والعلامات المرضية والحالات غير المعينة,Undefined illness,بحريني,Bahraini,19
2016,أنثى,Female,-,أخرى,Others,بحريني,Bahraini,0
