Nationality,Sex,Cause of Death,الوفيات,سبب الوفاة,جنس,الجنسية,سنة
Non-Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,غير بحريني,2017
Non-Bahraini,Female,Diseases of the Blood & Blood Forming Organs,1,أمراض الدم وأعضاء تكوين الدم,انثى,غير بحريني,2017
Non-Bahraini,Female,Diseases of the Skin & Subcutaneous Tissue,1,أمراض الجلد والنسيج الخلوي تحت الجلد,انثى,غير بحريني,2017
Non-Bahraini,Female,Diseases of Genitourinary System,5,أمراض الجهاز التناسلي البولي,انثى,غير بحريني,2017
Non-Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",1,الحمل والولادة والنفاس*,انثى,غير بحريني,2017
Non-Bahraini,Female,Congential Anomalies,7,العيوب والتشوهات خلقية,انثى,غير بحريني,2017
Non-Bahraini,Female,Undefined illness,0,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,غير بحريني,2017
Non-Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",1,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,غير بحريني,2017
Bahraini,Male,Certain Infectious & Parasitic Diseases,22,الأمراض المعدية (الأنتانية والطفيلية),ذكر,بحريني,2018
Bahraini,Male,Diseases of the Blood & Blood Forming Organs,14,أمراض الدم وأعضاء تكوين الدم,ذكر,بحريني,2018
Bahraini,Male,Mental Disorder,1,الإضطرابات العقلية,ذكر,بحريني,2018
Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,بحريني,2018
Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,4,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,بحريني,2018
Bahraini,Male,Conditions Originating in the Perinental Period,21,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,بحريني,2018
Bahraini,Male,Others,0,أخرى,ذكر,بحريني,2018
Bahraini,Female,Certain Infectious & Parasitic Diseases,23,الأمراض المعدية (الأنتانية والطفيلية),انثى,بحريني,2018
Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",30,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,بحريني,2018
Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,بحريني,2018
Bahraini,Female,Diseases of the Nervous System & Sense Organs,29,أمراض الجهاز العصبي,انثى,بحريني,2018
Bahraini,Female,Diseases of the Musculoskelatal System & Connective Tissue,12,أمراض الجهاز الهيكلي والنسيج الضام,انثى,بحريني,2018
Bahraini,Female,Congential Anomalies,14,العيوب والتشوهات خلقية,انثى,بحريني,2018
Bahraini,Female,Undefined illness,24,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,بحريني,2018
Bahraini,Female,External Causes of Morbidity & Mortality,50,الأسباب الخارجية للمرض والوفاة,انثى,بحريني,2018
Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,بحريني,2018
Non-Bahraini,Male,Neoplasms,21,الأورام,ذكر,غير بحريني,2018
Non-Bahraini,Male,"Endocrine, Nutritional & Metabolic & Immunity Disorders",6,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,ذكر,غير بحريني,2018
Non-Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,غير بحريني,2018
Non-Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,غير بحريني,2018
Non-Bahraini,Male,Diseases of the Respiratory System,11,أمراض الجهاز التنفسي,ذكر,غير بحريني,2018
Non-Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,3,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,غير بحريني,2018
Non-Bahraini,Male,Diseases of Genitourinary System,5,أمراض الجهاز التناسلي البولي,ذكر,غير بحريني,2018
Non-Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,غير بحريني,2018
Non-Bahraini,Male,Others,0,أخرى,ذكر,غير بحريني,2018
Non-Bahraini,Female,Neoplasms,22,الأورام,انثى,غير بحريني,2018
Non-Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,غير بحريني,2018
Non-Bahraini,Female,External Causes of Morbidity & Mortality,23,الأسباب الخارجية للمرض والوفاة,انثى,غير بحريني,2018
Non-Bahraini,Female,Others,0,أخرى,انثى,غير بحريني,2018
Bahraini,Male,Certain Infectious & Parasitic Diseases,30,الأمراض المعدية (الأنتانية والطفيلية),ذكر,بحريني,2019
Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,بحريني,2019
Bahraini,Male,Diseases of the Digestive System,38,أمراض الجهاز الهضمي,ذكر,بحريني,2019
Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,8,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,بحريني,2019
Bahraini,Male,Conditions Originating in the Perinental Period,21,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,بحريني,2019
Bahraini,Male,Congential Anomalies,20,العيوب والتشوهات خلقية,ذكر,بحريني,2019
Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",10,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,بحريني,2019
Bahraini,Male,External Causes of Morbidity & Mortality,66,الأسباب الخارجية للمرض والوفاة,ذكر,بحريني,2019
Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,بحريني,2019
Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,بحريني,2019
Bahraini,Female,Diseases of the Respiratory System,73,أمراض الجهاز التنفسي,انثى,بحريني,2019
Bahraini,Female,Diseases of the Musculoskelatal System & Connective Tissue,6,أمراض الجهاز الهيكلي والنسيج الضام,انثى,بحريني,2019
Bahraini,Female,Conditions Originating in the Perinental Period,21,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,بحريني,2019
Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",1,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,بحريني,2019
Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,1,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,بحريني,2019
Non-Bahraini,Male,Certain Infectious & Parasitic Diseases,12,الأمراض المعدية (الأنتانية والطفيلية),ذكر,غير بحريني,2019
Non-Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,1,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,غير بحريني,2019
Non-Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,غير بحريني,2019
Non-Bahraini,Male,Conditions Originating in the Perinental Period,10,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,غير بحريني,2019
Non-Bahraini,Female,Certain Infectious & Parasitic Diseases,4,الأمراض المعدية (الأنتانية والطفيلية),انثى,غير بحريني,2019
Non-Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,غير بحريني,2019
Non-Bahraini,Female,Diseases of the Circulatory System,77,أمراض الجهاز الدوري,انثى,غير بحريني,2019
Non-Bahraini,Female,Diseases of the Respiratory System,8,أمراض الجهاز التنفسي,انثى,غير بحريني,2019
Non-Bahraini,Female,Diseases of the Digestive System,8,أمراض الجهاز الهضمي,انثى,غير بحريني,2019
Non-Bahraini,Female,Diseases of the Skin & Subcutaneous Tissue,0,أمراض الجلد والنسيج الخلوي تحت الجلد,انثى,غير بحريني,2019
Non-Bahraini,Female,Diseases of the Musculoskelatal System & Connective Tissue,2,أمراض الجهاز الهيكلي والنسيج الضام,انثى,غير بحريني,2019
Non-Bahraini,Female,Diseases of Genitourinary System,3,أمراض الجهاز التناسلي البولي,انثى,غير بحريني,2019
Non-Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",3,الحمل والولادة والنفاس*,انثى,غير بحريني,2019
Non-Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,غير بحريني,2019
Non-Bahraini,Female,External Causes of Morbidity & Mortality,20,الأسباب الخارجية للمرض والوفاة,انثى,غير بحريني,2019
Bahraini,Male,"Endocrine, Nutritional & Metabolic & Immunity Disorders",43,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,ذكر,بحريني,2020
Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,بحريني,2020
Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,بحريني,2020
Bahraini,Male,Diseases of the Respiratory System,87,أمراض الجهاز التنفسي,ذكر,بحريني,2020
Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,8,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,بحريني,2020
Bahraini,Male,Diseases of Genitourinary System,38,أمراض الجهاز التناسلي البولي,ذكر,بحريني,2020
Bahraini,Male,Conditions Originating in the Perinental Period,18,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,بحريني,2020
Bahraini,Male,External Causes of Morbidity & Mortality,67,الأسباب الخارجية للمرض والوفاة,ذكر,بحريني,2020
Bahraini,Female,Certain Infectious & Parasitic Diseases,13,الأمراض المعدية (الأنتانية والطفيلية),انثى,بحريني,2020
Bahraini,Female,Neoplasms,187,الأورام,انثى,بحريني,2020
Bahraini,Female,Diseases of the Ear & Mastoid Process,1,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,بحريني,2020
Bahraini,Female,Diseases of the Respiratory System,67,أمراض الجهاز التنفسي,انثى,بحريني,2020
Bahraini,Female,Diseases of the Musculoskelatal System & Connective Tissue,7,أمراض الجهاز الهيكلي والنسيج الضام,انثى,بحريني,2020
Bahraini,Female,Congential Anomalies,15,العيوب والتشوهات خلقية,انثى,بحريني,2020
Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",1,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,بحريني,2020
Non-Bahraini,Male,"Endocrine, Nutritional & Metabolic & Immunity Disorders",8,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,ذكر,غير بحريني,2020
Non-Bahraini,Male,Diseases of the Nervous System & Sense Organs,9,أمراض الجهاز العصبي,ذكر,غير بحريني,2020
Non-Bahraini,Male,Diseases of the Circulatory System,336,أمراض الجهاز الدوري,ذكر,غير بحريني,2020
Non-Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,2,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,غير بحريني,2020
Non-Bahraini,Male,Conditions Originating in the Perinental Period,10,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,غير بحريني,2020
Non-Bahraini,Male,Congential Anomalies,2,العيوب والتشوهات خلقية,ذكر,غير بحريني,2020
Non-Bahraini,Male,Undefined illness,6,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,غير بحريني,2020
Non-Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,غير بحريني,2020
Non-Bahraini,Female,Certain Infectious & Parasitic Diseases,4,الأمراض المعدية (الأنتانية والطفيلية),انثى,غير بحريني,2020
Non-Bahraini,Female,Mental Disorder,1,الإضطرابات العقلية,انثى,غير بحريني,2020
Non-Bahraini,Female,Diseases of the Nervous System & Sense Organs,3,أمراض الجهاز العصبي,انثى,غير بحريني,2020
Non-Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,غير بحريني,2020
Non-Bahraini,Female,Diseases of the Digestive System,5,أمراض الجهاز الهضمي,انثى,غير بحريني,2020
Non-Bahraini,Female,Others,8,أخرى,انثى,غير بحريني,2020
Bahraini,Male,Neoplasms,160,الأورام,ذكر,بحريني,2002
Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,بحريني,2002
Bahraini,Male,Diseases of the Respiratory System,58,أمراض الجهاز التنفسي,ذكر,بحريني,2002
Bahraini,Male,Diseases of the Digestive System,41,أمراض الجهاز الهضمي,ذكر,بحريني,2002
Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,بحريني,2002
Bahraini,Male,Undefined illness,144,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,بحريني,2002
Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,بحريني,2002
Bahraini,Male,Others,0,أخرى,ذكر,بحريني,2002
Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",69,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,بحريني,2002
Bahraini,Female,Mental Disorder,1,الإضطرابات العقلية,انثى,بحريني,2002
Bahraini,Female,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,انثى,بحريني,2002
Bahraini,Female,Diseases of the Circulatory System,208,أمراض الجهاز الدوري,انثى,بحريني,2002
Bahraini,Female,Diseases of Genitourinary System,24,أمراض الجهاز التناسلي البولي,انثى,بحريني,2002
Bahraini,Female,Congential Anomalies,18,العيوب والتشوهات خلقية,انثى,بحريني,2002
Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,بحريني,2002
Bahraini,Female,Others,0,أخرى,انثى,بحريني,2002
Non-Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,غير بحريني,2002
Non-Bahraini,Male,Diseases of the Circulatory System,106,أمراض الجهاز الدوري,ذكر,غير بحريني,2002
Non-Bahraini,Male,Diseases of the Respiratory System,12,أمراض الجهاز التنفسي,ذكر,غير بحريني,2002
Non-Bahraini,Male,Diseases of the Digestive System,7,أمراض الجهاز الهضمي,ذكر,غير بحريني,2002
Non-Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,0,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,غير بحريني,2002
Non-Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,0,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,غير بحريني,2002
Non-Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,غير بحريني,2002
Non-Bahraini,Female,Neoplasms,6,الأورام,انثى,غير بحريني,2002
Non-Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,غير بحريني,2002
Non-Bahraini,Female,Diseases of the Musculoskelatal System & Connective Tissue,0,أمراض الجهاز الهيكلي والنسيج الضام,انثى,غير بحريني,2002
Non-Bahraini,Female,Diseases of Genitourinary System,1,أمراض الجهاز التناسلي البولي,انثى,غير بحريني,2002
Non-Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,غير بحريني,2002
Bahraini,Male,Neoplasms,134,الأورام,ذكر,بحريني,2003
Bahraini,Male,Diseases of the Blood & Blood Forming Organs,22,أمراض الدم وأعضاء تكوين الدم,ذكر,بحريني,2003
Bahraini,Male,"Endocrine, Nutritional & Metabolic & Immunity Disorders",69,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,ذكر,بحريني,2003
Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,بحريني,2003
Bahraini,Male,Diseases of the Respiratory System,79,أمراض الجهاز التنفسي,ذكر,بحريني,2003
Bahraini,Male,Diseases of Genitourinary System,31,أمراض الجهاز التناسلي البولي,ذكر,بحريني,2003
Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,بحريني,2003
Bahraini,Male,External Causes of Morbidity & Mortality,73,الأسباب الخارجية للمرض والوفاة,ذكر,بحريني,2003
Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,بحريني,2003
Bahraini,Female,Certain Infectious & Parasitic Diseases,24,الأمراض المعدية (الأنتانية والطفيلية),انثى,بحريني,2003
Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",77,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,بحريني,2003
Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,بحريني,2003
Bahraini,Female,Diseases of the Digestive System,39,أمراض الجهاز الهضمي,انثى,بحريني,2003
Bahraini,Female,Diseases of the Skin & Subcutaneous Tissue,25,أمراض الجلد والنسيج الخلوي تحت الجلد,انثى,بحريني,2003
Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",3,الحمل والولادة والنفاس*,انثى,بحريني,2003
Bahraini,Female,Undefined illness,91,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,بحريني,2003
Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,بحريني,2003
Bahraini,Female,Others,0,أخرى,انثى,بحريني,2003
Non-Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,غير بحريني,2003
Non-Bahraini,Male,Diseases of the Respiratory System,14,أمراض الجهاز التنفسي,ذكر,غير بحريني,2003
Non-Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,0,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,غير بحريني,2003
Non-Bahraini,Male,Diseases of Genitourinary System,7,أمراض الجهاز التناسلي البولي,ذكر,غير بحريني,2003
Non-Bahraini,Male,External Causes of Morbidity & Mortality,82,الأسباب الخارجية للمرض والوفاة,ذكر,غير بحريني,2003
Non-Bahraini,Male,Others,0,أخرى,ذكر,غير بحريني,2003
Non-Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,غير بحريني,2003
Non-Bahraini,Female,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),انثى,غير بحريني,2003
Non-Bahraini,Female,Diseases of the Circulatory System,24,أمراض الجهاز الدوري,انثى,غير بحريني,2003
Non-Bahraini,Female,Diseases of the Respiratory System,1,أمراض الجهاز التنفسي,انثى,غير بحريني,2003
Non-Bahraini,Female,Diseases of the Digestive System,3,أمراض الجهاز الهضمي,انثى,غير بحريني,2003
Non-Bahraini,Female,Diseases of the Skin & Subcutaneous Tissue,1,أمراض الجلد والنسيج الخلوي تحت الجلد,انثى,غير بحريني,2003
Non-Bahraini,Female,Diseases of the Musculoskelatal System & Connective Tissue,0,أمراض الجهاز الهيكلي والنسيج الضام,انثى,غير بحريني,2003
Non-Bahraini,Female,Diseases of Genitourinary System,1,أمراض الجهاز التناسلي البولي,انثى,غير بحريني,2003
Non-Bahraini,Female,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,انثى,غير بحريني,2003
Non-Bahraini,Female,Others,0,أخرى,انثى,غير بحريني,2003
Bahraini,Male,Neoplasms,125,الأورام,ذكر,بحريني,2004
Bahraini,Male,Diseases of the Blood & Blood Forming Organs,16,أمراض الدم وأعضاء تكوين الدم,ذكر,بحريني,2004
Bahraini,Male,Diseases of the Nervous System & Sense Organs,21,أمراض الجهاز العصبي,ذكر,بحريني,2004
Bahraini,Male,Diseases of the Circulatory System,202,أمراض الجهاز الدوري,ذكر,بحريني,2004
Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,2,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,بحريني,2004
Bahraini,Male,Diseases of Genitourinary System,42,أمراض الجهاز التناسلي البولي,ذكر,بحريني,2004
Bahraini,Male,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,ذكر,بحريني,2004
Bahraini,Male,Conditions Originating in the Perinental Period,35,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,بحريني,2004
Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,بحريني,2004
Bahraini,Male,External Causes of Morbidity & Mortality,68,الأسباب الخارجية للمرض والوفاة,ذكر,بحريني,2004
Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,بحريني,2004
Bahraini,Male,Others,0,أخرى,ذكر,بحريني,2004
Bahraini,Female,Certain Infectious & Parasitic Diseases,18,الأمراض المعدية (الأنتانية والطفيلية),انثى,بحريني,2004
Bahraini,Female,Conditions Originating in the Perinental Period,29,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,بحريني,2004
Bahraini,Female,Undefined illness,121,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,بحريني,2004
Non-Bahraini,Male,Certain Infectious & Parasitic Diseases,7,الأمراض المعدية (الأنتانية والطفيلية),ذكر,غير بحريني,2004
Non-Bahraini,Male,Diseases of the Nervous System & Sense Organs,2,أمراض الجهاز العصبي,ذكر,غير بحريني,2004
Non-Bahraini,Male,Diseases of the Eye & Adnexa,0,أمراض العين وتوابعها,ذكر,غير بحريني,2004
Non-Bahraini,Male,Diseases of the Ear & Mastoid Process,0,أمراض الأذن والنتؤ الخشائي (الحلمي),ذكر,غير بحريني,2004
Non-Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,0,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,غير بحريني,2004
Non-Bahraini,Male,Conditions Originating in the Perinental Period,6,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,غير بحريني,2004
Non-Bahraini,Male,External Causes of Morbidity & Mortality,99,الأسباب الخارجية للمرض والوفاة,ذكر,غير بحريني,2004
Non-Bahraini,Male,Factors Influencing Health Status & Contact with Health Services,0,العوامل المؤثرة على الحالة الصحية والمتعلقة بالخدمات الصحية,ذكر,غير بحريني,2004
Non-Bahraini,Female,Certain Infectious & Parasitic Diseases,4,الأمراض المعدية (الأنتانية والطفيلية),انثى,غير بحريني,2004
Non-Bahraini,Female,Diseases of the Circulatory System,18,أمراض الجهاز الدوري,انثى,غير بحريني,2004
Non-Bahraini,Female,Undefined illness,18,الأعراض والعلامات المرضية والحالات غير المعينة,انثى,غير بحريني,2004
Non-Bahraini,Female,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,انثى,غير بحريني,2004
Bahraini,Male,Certain Infectious & Parasitic Diseases,48,الأمراض المعدية (الأنتانية والطفيلية),ذكر,بحريني,2005
Bahraini,Male,"Endocrine, Nutritional & Metabolic & Immunity Disorders",106,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,ذكر,بحريني,2005
Bahraini,Male,Diseases of the Circulatory System,188,أمراض الجهاز الدوري,ذكر,بحريني,2005
Bahraini,Male,Diseases of the Digestive System,28,أمراض الجهاز الهضمي,ذكر,بحريني,2005
Bahraini,Male,Diseases of Genitourinary System,39,أمراض الجهاز التناسلي البولي,ذكر,بحريني,2005
Bahraini,Male,Conditions Originating in the Perinental Period,31,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,بحريني,2005
Bahraini,Male,"Injuries, Poisoning & Certain Other Consequences of External Causes",0,الإصابات والتسمم ونتائج أخرى معينة للأسباب الخارجية,ذكر,بحريني,2005
Bahraini,Male,External Causes of Morbidity & Mortality,71,الأسباب الخارجية للمرض والوفاة,ذكر,بحريني,2005
Bahraini,Female,Certain Infectious & Parasitic Diseases,36,الأمراض المعدية (الأنتانية والطفيلية),انثى,بحريني,2005
Bahraini,Female,Diseases of the Blood & Blood Forming Organs,19,أمراض الدم وأعضاء تكوين الدم,انثى,بحريني,2005
Bahraini,Female,Mental Disorder,0,الإضطرابات العقلية,انثى,بحريني,2005
Bahraini,Female,Diseases of the Nervous System & Sense Organs,15,أمراض الجهاز العصبي,انثى,بحريني,2005
Bahraini,Female,Diseases of the Circulatory System,171,أمراض الجهاز الدوري,انثى,بحريني,2005
Bahraini,Female,Diseases of the Respiratory System,53,أمراض الجهاز التنفسي,انثى,بحريني,2005
Bahraini,Female,Diseases of the Digestive System,27,أمراض الجهاز الهضمي,انثى,بحريني,2005
Bahraini,Female,Diseases of the Skin & Subcutaneous Tissue,22,أمراض الجلد والنسيج الخلوي تحت الجلد,انثى,بحريني,2005
Bahraini,Female,Diseases of the Musculoskelatal System & Connective Tissue,2,أمراض الجهاز الهيكلي والنسيج الضام,انثى,بحريني,2005
Bahraini,Female,Diseases of Genitourinary System,43,أمراض الجهاز التناسلي البولي,انثى,بحريني,2005
Bahraini,Female,"Pregnancy, Child-Birth & the Puerperium*",0,الحمل والولادة والنفاس*,انثى,بحريني,2005
Non-Bahraini,Male,Diseases of the Respiratory System,12,أمراض الجهاز التنفسي,ذكر,غير بحريني,2005
Non-Bahraini,Male,Diseases of the Musculoskelatal System & Connective Tissue,1,أمراض الجهاز الهيكلي والنسيج الضام,ذكر,غير بحريني,2005
Non-Bahraini,Male,Diseases of Genitourinary System,6,أمراض الجهاز التناسلي البولي,ذكر,غير بحريني,2005
Non-Bahraini,Male,Conditions Originating in the Perinental Period,5,حالات معينة تنشأ في  الفترة حول موعد الولادة,ذكر,غير بحريني,2005
Non-Bahraini,Male,Undefined illness,93,الأعراض والعلامات المرضية والحالات غير المعينة,ذكر,غير بحريني,2005
Non-Bahraini,Male,External Causes of Morbidity & Mortality,95,الأسباب الخارجية للمرض والوفاة,ذكر,غير بحريني,2005
Non-Bahraini,Female,Certain Infectious & Parasitic Diseases,2,الأمراض المعدية (الأنتانية والطفيلية),انثى,غير بحريني,2005
Non-Bahraini,Female,Neoplasms,10,الأورام,انثى,غير بحريني,2005
Non-Bahraini,Female,Diseases of the Blood & Blood Forming Organs,0,أمراض الدم وأعضاء تكوين الدم,انثى,غير بحريني,2005
Non-Bahraini,Female,"Endocrine, Nutritional & Metabolic & Immunity Disorders",11,أمراض الغدد الصماء والتغذية والتمثيل الغذائي وإضطرابات المناعة,انثى,غير بحريني,2005
Non-Bahraini,Female,Diseases of the Nervous System & Sense Organs,0,أمراض الجهاز العصبي,انثى,غير بحريني,2005
Non-Bahraini,Female,Diseases of the Musculoskelatal System & Connective Tissue,1,أمراض الجهاز الهيكلي والنسيج الضام,انثى,غير بحريني,2005
Non-Bahraini,Female,Conditions Originating in the Perinental Period,5,حالات معينة تنشأ في  الفترة حول موعد الولادة,انثى,غير بحريني,2005
Non-Bahraini,Female,Congential Anomalies,3,العيوب والتشوهات خلقية,انثى,غير بحريني,2005
Non-Bahraini,Female,External Causes of Morbidity & Mortality,15,الأسباب الخارجية للمرض والوفاة,انثى,غير بحريني,2005
Non-Bahraini,Female,Others,0,أخرى,انثى,غير بحريني,2005
Bahraini,Male,Diseases of the Skin & Subcutaneous Tissue,10,أمراض الجلد والنسيج الخلوي تحت الجلد,ذكر,بحريني,2006
